concessionaria,ano_do_pnv_snv,rodovia,km_m,sentido,latitude,longitude
ECO101,2020,BR-101/BA,942.254,Decrescente,-18.064728,-39.878511
ECO101,2020,BR-101/BA,942.274,Crescente,-18.064884,-39.878606
ECO101,2020,BR-101/BA,942.274,Decrescente,-18.064884,-39.878606
ECO101,2020,BR-101/BA,942.294,Crescente,-18.065041,-39.8787
ECO101,2020,BR-101/BA,942.294,Decrescente,-18.065041,-39.8787
ECO101,2020,BR-101/BA,942.314,Crescente,-18.065198,-39.878794
ECO101,2020,BR-101/BA,942.314,Decrescente,-18.065198,-39.878794
ECO101,2020,BR-101/BA,942.334,Crescente,-18.065354,-39.878889
ECO101,2020,BR-101/BA,942.334,Decrescente,-18.065354,-39.878889
ECO101,2020,BR-101/BA,942.354,Crescente,-18.065511,-39.878984
ECO101,2020,BR-101/BA,942.354,Decrescente,-18.065511,-39.878984
ECO101,2020,BR-101/BA,942.374,Crescente,-18.065667,-39.879079
ECO101,2020,BR-101/BA,942.374,Decrescente,-18.065667,-39.879079
ECO101,2020,BR-101/BA,942.394,Crescente,-18.065817,-39.879171
ECO101,2020,BR-101/BA,942.394,Decrescente,-18.065817,-39.879171
ECO101,2020,BR-101/BA,942.414,Crescente,-18.065981,-39.879266
ECO101,2020,BR-101/BA,942.414,Decrescente,-18.065981,-39.879266
ECO101,2020,BR-101/BA,942.434,Crescente,-18.066138,-39.87936
ECO101,2020,BR-101/BA,942.434,Decrescente,-18.066138,-39.87936
ECO101,2020,BR-101/BA,942.454,Crescente,-18.066294,-39.879455
ECO101,2020,BR-101/BA,942.454,Decrescente,-18.066294,-39.879455
ECO101,2020,BR-101/BA,942.474,Crescente,-18.066448,-39.879549
ECO101,2020,BR-101/BA,942.474,Decrescente,-18.066448,-39.879549
ECO101,2020,BR-101/BA,942.494,Crescente,-18.066606,-39.879647
ECO101,2020,BR-101/BA,942.494,Decrescente,-18.066606,-39.879647
ECO101,2020,BR-101/BA,942.514,Crescente,-18.066761,-39.879743
ECO101,2020,BR-101/BA,942.514,Decrescente,-18.066761,-39.879743
ECO101,2020,BR-101/BA,942.534,Crescente,-18.066916,-39.87984
ECO101,2020,BR-101/BA,942.534,Decrescente,-18.066916,-39.87984
ECO101,2020,BR-101/BA,942.554,Crescente,-18.067072,-39.879936
ECO101,2020,BR-101/BA,942.554,Decrescente,-18.067072,-39.879936
ECO101,2020,BR-101/BA,942.574,Crescente,-18.067232,-39.880033
ECO101,2020,BR-101/BA,942.574,Decrescente,-18.067232,-39.880033
ECO101,2020,BR-101/BA,942.594,Crescente,-18.067385,-39.880125
ECO101,2020,BR-101/BA,942.594,Decrescente,-18.067385,-39.880125
ECO101,2020,BR-101/BA,942.614,Crescente,-18.067542,-39.88022
ECO101,2020,BR-101/BA,942.614,Decrescente,-18.067542,-39.88022
ECO101,2020,BR-101/BA,942.634,Crescente,-18.067699,-39.880313
ECO101,2020,BR-101/BA,942.634,Decrescente,-18.067699,-39.880313
ECO101,2020,BR-101/BA,942.654,Crescente,-18.067856,-39.880407
ECO101,2020,BR-101/BA,942.654,Decrescente,-18.067856,-39.880407
ECO101,2020,BR-101/BA,942.674,Crescente,-18.06801,-39.880505
ECO101,2020,BR-101/BA,942.674,Decrescente,-18.06801,-39.880505
ECO101,2020,BR-101/BA,942.694,Crescente,-18.068165,-39.880602
ECO101,2020,BR-101/BA,942.694,Decrescente,-18.068165,-39.880602
ECO101,2020,BR-101/BA,942.714,Crescente,-18.068321,-39.880697
ECO101,2020,BR-101/BA,942.714,Decrescente,-18.068321,-39.880697
ECO101,2020,BR-101/BA,942.734,Crescente,-18.068478,-39.880792
ECO101,2020,BR-101/BA,942.734,Decrescente,-18.068478,-39.880792
ECO101,2020,BR-101/BA,942.754,Crescente,-18.068636,-39.880884
ECO101,2020,BR-101/BA,942.754,Decrescente,-18.068636,-39.880884
ECO101,2020,BR-101/BA,942.774,Crescente,-18.068792,-39.880979
ECO101,2020,BR-101/BA,942.774,Decrescente,-18.068792,-39.880979
ECO101,2020,BR-101/BA,942.794,Crescente,-18.068948,-39.881074
ECO101,2020,BR-101/BA,942.794,Decrescente,-18.068948,-39.881074
ECO101,2020,BR-101/BA,942.814,Crescente,-18.069105,-39.881169
ECO101,2020,BR-101/BA,942.814,Decrescente,-18.069105,-39.881169
ECO101,2020,BR-101/BA,942.834,Crescente,-18.069261,-39.881263
ECO101,2020,BR-101/BA,942.834,Decrescente,-18.069261,-39.881263
ECO101,2020,BR-101/BA,942.854,Crescente,-18.069418,-39.881357
ECO101,2020,BR-101/BA,942.854,Decrescente,-18.069418,-39.881357
ECO101,2020,BR-101/BA,942.874,Crescente,-18.069578,-39.881454
ECO101,2020,BR-101/BA,942.874,Decrescente,-18.069578,-39.881454
ECO101,2020,BR-101/BA,942.894,Crescente,-18.069731,-39.881547
ECO101,2020,BR-101/BA,942.894,Decrescente,-18.069731,-39.881547
ECO101,2020,BR-101/BA,942.914,Crescente,-18.069888,-39.881641
ECO101,2020,BR-101/BA,942.914,Decrescente,-18.069888,-39.881641
ECO101,2020,BR-101/BA,942.934,Crescente,-18.070044,-39.881736
ECO101,2020,BR-101/BA,942.934,Decrescente,-18.070044,-39.881736
ECO101,2020,BR-101/BA,942.954,Crescente,-18.0702,-39.881831
ECO101,2020,BR-101/BA,942.954,Decrescente,-18.0702,-39.881831
ECO101,2020,BR-101/BA,942.974,Crescente,-18.070357,-39.881925
ECO101,2020,BR-101/BA,942.974,Decrescente,-18.070357,-39.881925
ECO101,2020,BR-101/BA,942.994,Crescente,-18.070514,-39.88202
ECO101,2020,BR-101/BA,942.994,Decrescente,-18.070514,-39.88202
ECO101,2020,BR-101/BA,943.014,Crescente,-18.070669,-39.882115
ECO101,2020,BR-101/BA,943.014,Decrescente,-18.070669,-39.882115
ECO101,2020,BR-101/BA,943.034,Crescente,-18.070825,-39.882212
ECO101,2020,BR-101/BA,943.034,Decrescente,-18.070825,-39.882212
ECO101,2020,BR-101/BA,943.054,Crescente,-18.070979,-39.88231
ECO101,2020,BR-101/BA,943.054,Decrescente,-18.070979,-39.88231
ECO101,2020,BR-101/BA,943.074,Crescente,-18.071136,-39.882404
ECO101,2020,BR-101/BA,943.074,Decrescente,-18.071136,-39.882404
ECO101,2020,BR-101/BA,943.094,Crescente,-18.071294,-39.882496
ECO101,2020,BR-101/BA,943.094,Decrescente,-18.071294,-39.882496
ECO101,2020,BR-101/BA,943.114,Crescente,-18.071448,-39.882587
ECO101,2020,BR-101/BA,943.114,Decrescente,-18.071448,-39.882587
ECO101,2020,BR-101/BA,943.134,Crescente,-18.071608,-39.882683
ECO101,2020,BR-101/BA,943.134,Decrescente,-18.071608,-39.882683
